CropType,Location,LandType,LandSize,Income,LoanName
Coffee,Chikkamagaluru,Black cotton soil land,0.8,78066,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.41,90328,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.07,84607,Plantation Development Loan
Coffee,Kodagu,Wetland,1.57,84603,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.2,95085,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.37,87732,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.12,82453,Plantation Development Loan
Coffee,Hassan,Wetland,0.91,74477,Plantation Development Loan
Coffee,Hassan,Wetland,0.87,69230,Plantation Development Loan
Coffee,Kodagu,Wetland,0.51,85280,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.23,79972,Plantation Development Loan
Coffee,Kodagu,Wetland,0.5,76130,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.69,96524,Plantation Development Loan
Coffee,Hassan,Wetland,0.68,70914,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.64,84276,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.67,95881,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.41,74327,Plantation Development Loan
Coffee,Kodagu,Wetland,1.74,66817,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,0.69,71729,Plantation Development Loan
Coffee,Hassan,Wetland,0.57,77750,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.97,79973,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.08,77840,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.59,81220,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.6,97771,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.98,70630,Plantation Development Loan
Coffee,Kodagu,Wetland,1.05,86501,Plantation Development Loan
Coffee,Hassan,Wetland,0.96,71585,Plantation Development Loan
Coffee,Kodagu,Wetland,0.85,69504,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.36,94507,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.75,92010,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.5,74952,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.77,83421,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.23,73012,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.84,93390,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.35,85238,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.05,68340,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.95,76816,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.94,67113,Plantation Development Loan
Coffee,Hassan,Wetland,1.44,65334,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.56,74604,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.44,89969,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.89,61705,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.34,88073,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.05,77817,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.03,74445,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.46,77139,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.96,77836,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.42,70237,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.9,82851,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.1,76274,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.94,77631,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.31,71455,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.41,93252,Plantation Development Loan
Coffee,Kodagu,Wetland,1.76,63657,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.27,98236,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.26,62047,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.82,75364,Plantation Development Loan
Coffee,Hassan,Wetland,0.81,68540,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.91,97045,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.24,97526,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.63,87749,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.34,94808,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.58,89755,Plantation Development Loan
Coffee,Kodagu,Wetland,1.67,66838,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.74,79759,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.33,91433,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.27,95919,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.4,79296,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.23,73012,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.54,89081,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.03,74445,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.87,96073,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.11,90837,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.56,85840,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.24,99906,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.03,74445,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.8,79161,Plantation Development Loan
Coffee,Kodagu,Wetland,1.78,60787,Plantation Development Loan
Coffee,Hassan,Wetland,1.66,68449,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.05,86881,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.74,65717,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.91,61433,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.6,97771,Plantation Development Loan
Coffee,Kodagu,Wetland,1.7,68584,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,0.7,68878,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.21,98769,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.66,85259,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.94,67113,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.89,98474,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.73,66175,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.71,74540,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.49,87713,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.14,79594,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.11,72914,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.73,77870,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.23,81997,Plantation Development Loan
Coffee,Kodagu,Wetland,0.85,69504,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.15,63829,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.18,95305,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.07,68783,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.56,80278,Plantation Development Loan
Coffee,Kodagu,Wetland,1.57,84603,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.75,92010,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.13,78355,Plantation Development Loan
Coffee,Kodagu,Wetland,1.4,62344,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.36,88559,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.08,71522,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.15,62273,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,0.78,61803,Plantation Development Loan
Coffee,Kodagu,Wetland,1.74,66817,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.48,89971,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.26,85457,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.14,77244,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.14,98188,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.46,77489,Plantation Development Loan
Coffee,Kodagu,Wetland,1.74,66817,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.83,81052,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,0.94,70586,Plantation Development Loan
Coffee,Kodagu,Wetland,1.78,60787,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.49,90167,Plantation Development Loan
Coffee,Hassan,Wetland,0.81,68540,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.42,70237,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.31,95006,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.05,86881,Plantation Development Loan
Coffee,Hassan,Wetland,1.65,60892,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.47,91900,Plantation Development Loan
Coffee,Kodagu,Wetland,0.51,85280,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.58,98835,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.81,90697,Plantation Development Loan
Coffee,Hassan,Wetland,0.57,77750,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.38,68786,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.69,71332,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.17,97216,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.98,98285,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.6,74985,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.27,65647,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.15,86289,Plantation Development Loan
Coffee,Kodagu,Wetland,1.98,79506,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.11,94475,Plantation Development Loan
Coffee,Hassan,Wetland,1.39,67424,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.12,98025,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.14,70441,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.21,62905,Plantation Development Loan
Coffee,Kodagu,Wetland,1.05,86501,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.86,65694,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.22,88720,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.92,93403,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.06,81531,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.01,76918,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.69,91286,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.28,76430,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.55,83456,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.14,79182,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.02,95438,Plantation Development Loan
Coffee,Kodagu,Wetland,1.15,79789,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.1,95175,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.15,86289,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.63,87749,Plantation Development Loan
Coffee,Hassan,Wetland,1.68,78754,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.26,84402,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.45,81439,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.47,91900,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.04,78577,Plantation Development Loan
Coffee,Hassan,Wetland,1.66,68449,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.7,76754,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.61,89967,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.52,87510,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.56,80278,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.08,80769,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.42,65952,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.41,90328,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.89,98474,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.72,85590,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.06,88054,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.15,86289,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.14,77336,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.33,73681,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.69,83926,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.47,91900,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.18,95305,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.42,82650,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.73,77870,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.56,80278,Plantation Development Loan
Coffee,Hassan,Wetland,1.66,68449,Plantation Development Loan
Coffee,Kodagu,Wetland,1.2,69111,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.12,82453,Plantation Development Loan
Coffee,Hassan,Wetland,1.65,60892,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.89,61705,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.68,90120,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.35,92660,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.19,79687,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.81,90697,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.15,75806,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.67,77729,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.9,91575,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.58,89755,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.84,93390,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.81,90697,Plantation Development Loan
Coffee,Hassan,Wetland,1.81,70271,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.07,70210,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.15,86289,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.23,76421,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.91,71593,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.24,97526,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.69,96524,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.74,65717,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.94,85316,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.41,86674,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.35,85238,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.39,70492,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.75,86191,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.43,73512,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.33,79375,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.27,82978,Plantation Development Loan
Coffee,Kodagu,Wetland,0.82,80479,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.14,70441,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.63,87749,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.3,71851,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.49,90167,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.3,71851,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.44,89969,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.76,68919,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.53,88716,Plantation Development Loan
Coffee,Hassan,Wetland,1.19,83337,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.91,97045,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.1,76274,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.56,85840,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.69,91286,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.01,76918,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.31,71455,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.76,80446,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.23,76421,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.91,61433,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.96,79301,Plantation Development Loan
Coffee,Kodagu,Wetland,1.07,84184,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.95,87252,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.58,98835,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.48,89971,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.19,79687,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.69,91286,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.69,93972,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.31,98262,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.42,71830,Plantation Development Loan
Coffee,Kodagu,Wetland,1.07,84184,Plantation Development Loan
Coffee,Kodagu,Wetland,1.0,89166,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.54,73088,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.03,90286,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.65,89603,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.28,73108,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.94,85316,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.87,93210,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.45,89100,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.32,77492,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.91,97045,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.42,81715,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.48,98445,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.46,77489,Plantation Development Loan
Coffee,Kodagu,Wetland,0.82,80479,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.99,89798,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.37,81894,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.46,77139,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.18,95305,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.87,81395,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.78,80008,Plantation Development Loan
Coffee,Kodagu,Wetland,0.78,85405,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.56,71865,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.49,80636,Plantation Development Loan
Coffee,Kodagu,Wetland,1.57,84603,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.77,60028,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.26,76493,Plantation Development Loan
Coffee,Kodagu,Wetland,0.59,77639,Plantation Development Loan
Coffee,Hassan,Wetland,1.68,78754,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.49,94352,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.48,98445,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.07,86369,Plantation Development Loan
Coffee,Kodagu,Wetland,1.05,86501,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.13,89792,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.69,91286,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.06,74310,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.23,73012,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.49,83113,Plantation Development Loan
Coffee,Kodagu,Wetland,1.17,71060,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.12,82453,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.13,89792,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.07,68783,Plantation Development Loan
Coffee,Hassan,Wetland,0.96,71585,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.77,74867,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.15,62273,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.5,89578,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.42,82650,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.58,89755,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.64,84276,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.35,92660,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.89,98474,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.41,74327,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.9,86669,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,0.94,70586,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.98,77232,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.37,81894,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.81,73712,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.59,81220,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.14,79594,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.1,95175,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.78,87784,Plantation Development Loan
Coffee,Kodagu,Wetland,1.7,68584,Plantation Development Loan
Coffee,Kodagu,Wetland,1.15,67467,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.11,72914,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.74,65717,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.97,79973,Plantation Development Loan
Coffee,Kodagu,Wetland,1.0,89166,Plantation Development Loan
Coffee,Kodagu,Wetland,0.85,69504,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.14,77336,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.93,73078,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.48,90826,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.25,97216,Plantation Development Loan
Coffee,Kodagu,Wetland,1.7,68584,Plantation Development Loan
Coffee,Kodagu,Black cotton soil land,1.48,77649,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.41,74726,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.61,72865,Plantation Development Loan
Coffee,Kodagu,Wetland,0.78,85405,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.12,99679,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.37,87732,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.12,98025,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.9,82851,Plantation Development Loan
Coffee,Hassan,Wetland,1.35,86386,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.39,72170,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.91,79748,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.85,80684,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.14,77336,Plantation Development Loan
Coffee,Hassan,Wetland,1.35,71097,Plantation Development Loan
Coffee,Hassan,Wetland,0.68,70914,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.55,83456,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.15,77143,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.95,97398,Plantation Development Loan
Coffee,Hassan,Wetland,1.45,70928,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.23,81997,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.05,68340,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.87,81395,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.82,75364,Plantation Development Loan
Coffee,Kodagu,Wetland,1.78,60787,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.25,97216,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.06,77533,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.06,77533,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.91,85364,Plantation Development Loan
Coffee,Hassan,Wetland,1.65,60892,Plantation Development Loan
Coffee,Hassan,Wetland,0.81,68540,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.59,80842,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.38,76613,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.66,71568,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.75,81156,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.6,75281,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.44,97579,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.49,87713,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.97,85370,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.73,66175,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.48,98445,Plantation Development Loan
Coffee,Kodagu,Wetland,1.45,72235,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.02,95438,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,1.73,66175,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.93,73078,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.87,84614,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.49,80636,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.11,94475,Plantation Development Loan
Coffee,Chikkamagaluru,Wetland,0.91,61433,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.77,60028,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.28,70321,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.92,93403,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.52,87510,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,2.03,74445,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.55,98430,Plantation Development Loan
Coffee,Hassan,Wetland,1.16,76906,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.33,98330,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.41,94191,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.07,84607,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.65,89603,Plantation Development Loan
Coffee,Hassan,Wetland,1.68,78754,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.6,70349,Plantation Development Loan
Coffee,Kodagu,Wetland,1.15,79789,Plantation Development Loan
Coffee,Kodagu,Wetland,0.85,69504,Plantation Development Loan
Coffee,Hassan,Wetland,1.45,70928,Plantation Development Loan
Coffee,Hassan,Wetland,1.29,75295,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,0.64,80422,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.42,81715,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,1.07,70210,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.49,83113,Plantation Development Loan
Tea,Chikkamagaluru,Wetland,2.21,98769,Plantation Development Loan
Tea,Chikkamagaluru,Hill slope,1.6,74985,Plantation Development Loan
